userId,userName,debutYear,firstPostTime,firstTitle,firstContentId,latestPostTime,latestTitle,latestContentId,isActiveRecent1Year
11732,もっこもこ,2022,2022-10-10 19:01:02,萌ゆる季節のポタリングVol.1 枚岡神社【日帰り旅行祭】,sm41210442,2026-01-18 20:40:04,萌ゆる季節のポタリングVol.6 小牧長久手,sm45851840,True
25892,投人,2026,2026-03-22 19:00:00,【手抜き車載祭】コスモスとつけ麺と私【半年振りに投稿しました】【東北きりたん車載動画】,sm46085002,2026-08-11 18:30:00,【VOICEVOX5周年文化祭】39アウトレット入間店に行ってきたぞ（再走）【WhiteCUL車載動画】,sm46654352,True
37251,ナカガワP,2022,2022-08-17 21:57:02,Pとゆかりのレンタルおバイク #01 針テラス～月ヶ瀬温泉,sm40938758,2025-08-16 19:02:36,【ギャルゲ車載】「あ、あの、それキミのバイクだよね？よ、よかったら乗せて欲しいんだけど...」 #宮舞モカ,sm45288123,True
41439,みかも,2022,2022-09-13 16:36:03,腹ペコあかりちゃんはお出かけしたい☆ Part1 多摩湖自転車道周辺,sm41074220,2025-10-12 23:59:00,【くまもと動画投稿祭】初熊本旅行　4泊5日ダイジェスト　阿蘇と温泉と飯テロ,sm45495453,True
43993,雪楓,2021,2021-02-22 00:10:03,【CeVIO車載】すずきつづみは北海道を旅したい PartTest【すずきつづみ投稿祭】,sm38312142,2026-07-15 18:00:00,【CeVIO車載】すずきつづみは北海道を旅したい Part26【シンプル車載動画投稿祭2026 編】,sm46545972,True
59802,わいえほ,2022,2022-11-18 15:00:00,カメラ担いで行けるところまで 自転車編#2,sm41387298,2026-05-24 01:53:04,【タンゲコトエ奉納祭2026】南阿蘇サイクリング,sm46348240,True
60115,ODEKO_SUNSHINE,2026,2026-07-03 21:27:25,【VOICEVOX車載】那須高原でソロキャンプ - 燻製を作るよ【Vlog】,sm46505429,2026-07-03 21:27:25,【VOICEVOX車載】那須高原でソロキャンプ - 燻製を作るよ【Vlog】,sm46505429,True
82110,ａｒａ1127,2018,2018-05-06 01:04:25,PCXで往く国道168号線の旅【紲星あかり車載】,sm33164628,2026-07-12 12:34:21,山梨レ●プ！宮入貝絶対殺すマンと化した県民（淫夢要素少）,sm46540203,True
84177,zomuzomu,2014,2014-10-03 05:59:29,【バイク車載動画】葛西臨海公園に日の出を見に行こう【テスト】,sm24604538,2026-07-19 18:00:00,【九州一周完了】八日間で巡る九州一周ツーリング！西と南を目指します #10 一周したのでフェリーで帰ります！,sm46565374,True
97427,ぶらうにー@みりあ,2025,2025-08-24 23:04:04,【A.I.VOICE車載】くるまではしる。＠神戸市須磨区【夜語トバリ】,sm45333566,2025-08-24 23:04:04,【A.I.VOICE車載】くるまではしる。＠神戸市須磨区【夜語トバリ】,sm45333566,True
112753,a2c,2020,2020-09-22 02:43:02,GSF1200で塩屋崎灯台に行ってきたよ,sm37558281,2026-07-19 18:00:00,【スタート・ゴール間距離0km】富士カートコース【シンプル車載動画投稿祭2026】,sm46566422,True
132030,あいへん,2024,2024-08-16 17:23:03,【10秒動画祭～ニコニコ復活編～】涼しさを求めて,sm43976857,2026-07-07 00:00:00,【シンプル車載投稿祭】ちょっと林道お散歩行ってくる【VOICEROID車載】,sm46483363,True
144361,MAK,2024,2024-10-19 09:50:03,【中国うさぎの因幡見聞録】#11_魚料理「海」（鳥取県東伯郡琴浦町）,sm44229922,2026-07-13 17:00:00,【中国うさぎの因幡見聞録】#16_布原駅（岡山県新見市）,sm46543499,True
151187,いわし / 極弱魚類,2024,2024-10-19 22:43:04,【日帰り旅行祭2024】埼玉・群馬レトロ自販機巡り,sm44232356,2026-07-31 22:30:00,【#セイカフェス2026】第16回東北ずん子スタンプラリー(2026)前編　～超ヤバイ！本当に小学５年生か？～,sm46607716,True
158227,ラッチ・アスト,2021,2021-09-25 05:57:02,涼月と行く佐世保旅行R【その２】,sm39385015,2026-03-21 18:05:00,【手抜き車載祭】涼月と行く 新札幌で朝ラー,sm46081612,True
168374,クーデルト,2023,2023-12-04 10:17:02,バイクで撮影に行きたい＃1 CB650F,sm43104241,2026-07-08 03:32:16,シンプル車載動画　　ちょっとサーキット行ってくるレインボースポーツNinja250SL,sm46525374,True
176554,カレント,2025,2025-04-07 19:27:04,GSファンライドに行った話,sm44853711,2026-07-26 21:49:16,GS FUN RIDEに行った話,sm46593909,True
181064,島結しまゆ,2015,2015-05-16 10:00:00,【北海道】旅慣れる為の車載動画part7【番外編】,sm26266008,2026-05-27 23:00:00,【ぬいぐるみ旅行祭】静内の桜と馬とぬい【個人Vtuber】,sm46363154,True
223788,ルズムーン,2020,2020-02-29 19:48:02,【VOICEROID車載】名古屋発！ゆかり達の愉快なバイクツーリング ＃1【ninja400】,sm36438552,2026-07-26 18:00:00,ゆかりの愉快な四国ツーリング　#3［愛媛→徳島］,sm46592072,True
