userId,userName,debutYear,firstPostTime,firstTitle,firstContentId,latestPostTime,latestTitle,latestContentId,isActiveRecent1Year
5701,ねこぢる,2017,2017-08-20 12:11:03,【バイクで行こう】CB400SBで行く、国道20号 上野原～,sm31779585,2018-07-26 17:28:20,【バイクで行こう】いつから国産スーパーカブ90が峠道に向かないと錯覚していた？,sm33587472,False
11575,Anz.,2021,2021-01-20 12:00:00,ぶらっとひとりたび #5 &quot;新潟・弥彦&quot;【VOICEROID旅行】,sm38146397,2021-01-20 12:00:00,ぶらっとひとりたび #5 &quot;新潟・弥彦&quot;【VOICEROID旅行】,sm38146397,False
11732,もっこもこ,2022,2022-10-10 19:01:02,萌ゆる季節のポタリングVol.1 枚岡神社【日帰り旅行祭】,sm41210442,2026-01-18 20:40:04,萌ゆる季節のポタリングVol.6 小牧長久手,sm45851840,True
14002,詩知里屋◆男爵,2020,2020-03-16 15:30:02,【1分弱車載祭】旅行動画勢が行く、世界の車載から,sm36522150,2020-03-16 15:30:02,【1分弱車載祭】旅行動画勢が行く、世界の車載から,sm36522150,False
16958,edodes,2023,2023-07-15 22:30:00,【クソデカ地名モニュメント投稿祭】ただのランチ？【CeVIO_AI】,sm42488111,2023-07-15 22:30:00,【クソデカ地名モニュメント投稿祭】ただのランチ？【CeVIO_AI】,sm42488111,False
19634,チャフ,2022,2022-10-02 00:48:03,【初投稿】フィーちゃんと気ままサイクリング【#0.1 彩湖サイクリング】【ニコニコ自転車動画祭2022秋】,sm41161749,2025-01-05 20:21:05,フィーちゃんと気ままサイクリング 【#7 初日の出ポタ！】,sm44507620,False
19718,一方通行,2016,2016-02-27 22:04:21,【CB400SB】東北ずん子と行く奥吉野ツーリング,sm28311480,2022-05-14 10:45:00,昼下がりのカフェツーリング - 結月ゆかり車載,sm40463124,False
21743,うにょ,2020,2020-03-21 20:31:02,【VOICEROID車載】Ninjaに乗った茜ちゃん　その1【Ninja250】,sm36548887,2021-04-09 14:20:03,【Voiceroid車載】（タイトルは）ないです… パート3,sm38555825,False
23152,JunK-P,2020,2020-11-06 21:20:03,【ロードバイク車載】さとうささらは高い所に登りがち！？＃１乗鞍エコーライン,sm37780254,2021-11-08 01:10:02,【ロードバイク車載】さとうささらは高い所に登りがち！？ ＃3乗鞍エコーライン2021（秋）,sm39594712,False
23904,キャプテン・宮藤,2018,2018-10-25 20:20:02,【結月ゆかり車載】きっとまた旅に出る part.1【GSR250】,sm34073996,2019-05-15 00:27:02,【結月ゆかり車載】きっとまた旅に出る part.3【GSR250】,sm35124593,False
25892,投人,2026,2026-03-22 19:00:00,【手抜き車載祭】コスモスとつけ麺と私【半年振りに投稿しました】【東北きりたん車載動画】,sm46085002,2026-08-11 18:30:00,【VOICEVOX5周年文化祭】39アウトレット入間店に行ってきたぞ（再走）【WhiteCUL車載動画】,sm46654352,True
26081,うさぎぱんつ,2022,2022-05-16 22:15:03,[A.I.VOICE車載]琴葉姉妹のZ400で行くソロツーリングの旅 #1 [Z400],sm40477241,2022-12-02 19:00:00,[A.I.VOICE車載]琴葉姉妹のZ400で行くソロツーリングの旅 北海道ツーリング篇#1[Z400],sm41451011,False
26670,もやし1号機,2016,2016-12-24 22:18:21,【くりの郷】ぼっち道の駅めぐりPart.2-1【Cevio車載】,sm30291951,2019-08-05 15:00:00,ささらと琴葉姉妹のご近所散歩ツーリングPart12　大阪府交野市ほしだ園地,sm35493880,False
28249,加藤かな,2023,2023-03-24 19:00:00,あかりちゃんとCX-30 その1：初めてのマイカー,sm41977838,2023-03-24 19:00:00,あかりちゃんとCX-30 その1：初めてのマイカー,sm41977838,False
31810,まぼ,2022,2022-10-16 22:50:02,【ミニベロで行く】蒙古タンメン中本渋谷店,sm41242367,2022-10-24 06:00:00,【ミニベロで行く】蒙古タンメン中本新宿店,sm41274683,False
32946,nagiha,2019,2019-06-04 01:38:02,ボイスロイドと始めるバイクライフ! 第1話　羽田プチツーリング,sm35216964,2020-05-23 18:24:02,ボイスロイドと始めるバイクライフ! 第4話　清里編,sm36909487,False
36449,おけら,2019,2019-04-07 09:24:01,【VOICEROID車載】 原付でお花見,sm34926250,2019-07-28 10:10:02,【VOICEROID車載】 バイクのある日々 Part 3 「レトロな風景」,sm35459325,False
36777,たつしろ,2025,2025-07-21 17:00:00,【初投稿】ゆかりさんの鉄板！避暑ツーリング【シンプル車載動画投稿祭2025】,sm45208166,2025-07-21 17:00:00,【初投稿】ゆかりさんの鉄板！避暑ツーリング【シンプル車載動画投稿祭2025】,sm45208166,False
37251,ナカガワP,2022,2022-08-17 21:57:02,Pとゆかりのレンタルおバイク #01 針テラス～月ヶ瀬温泉,sm40938758,2025-08-16 19:02:36,【ギャルゲ車載】「あ、あの、それキミのバイクだよね？よ、よかったら乗せて欲しいんだけど...」 #宮舞モカ,sm45288123,True
41439,みかも,2022,2022-09-13 16:36:03,腹ペコあかりちゃんはお出かけしたい☆ Part1 多摩湖自転車道周辺,sm41074220,2025-10-12 23:59:00,【くまもと動画投稿祭】初熊本旅行　4泊5日ダイジェスト　阿蘇と温泉と飯テロ,sm45495453,True
42911,アーテル,2023,2023-07-27 21:00:00,【CeVIO車載】初めての納車と給油までの初運転【CBR250RR】,sm42537274,2023-07-27 21:00:00,【CeVIO車載】初めての納車と給油までの初運転【CBR250RR】,sm42537274,False
43993,雪楓,2021,2021-02-22 00:10:03,【CeVIO車載】すずきつづみは北海道を旅したい PartTest【すずきつづみ投稿祭】,sm38312142,2026-07-15 18:00:00,【CeVIO車載】すずきつづみは北海道を旅したい Part26【シンプル車載動画投稿祭2026 編】,sm46545972,True
46420,sheltie,2017,2017-01-04 02:23:24,【RC390】初めての高速道路,sm30364539,2024-12-14 20:41:04,【Tesi3D】#012 ただの気晴らしに伊東マリンタウンツーリング【VVlog】,sm44425189,False
47062,愛米,2022,2022-10-31 00:47:02,【VOICEVOX実況】久留米日帰り観光旅行！【Vlog】,sm41305304,2022-10-31 00:47:02,【VOICEVOX実況】久留米日帰り観光旅行！【Vlog】,sm41305304,False
47605,あばたー,2018,2018-10-01 18:45:02,琴葉姉妹とキャンプ場紹介！　２泊目,sm33949835,2018-10-29 21:21:02,琴葉姉妹とキャンプ場紹介！　３泊目,sm34094085,False
47641,駄ネコ,2022,2022-10-07 00:00:00,精霊といく旅行の世界より　伊勢神宮と半月聖地,sm41184338,2025-07-21 12:54:05,ゆかりとイアの「ゲーセンラジオ」 番外編　漢気コアラを確保しにいくゆかりさん,sm45209396,False
48056,"T,I",2020,2020-06-17 20:09:02,【voiceroid車載 】ちょっと自転車でポタリングしてきた,sm37047681,2020-07-18 19:06:03,【いろポタ】色々な自転車でポタリング Part3【VOICEROID車載 】,sm37207939,False
49920,ぜよねこ,2016,2016-08-27 18:12:18,【第二回ひじき祭】 ゆかマキが旭山動物園へ行く,sm29532336,2016-08-27 18:12:18,【第二回ひじき祭】 ゆかマキが旭山動物園へ行く,sm29532336,False
56837,レグルス,2018,2018-11-28 19:00:01,【VOICEROID車載】ぼっちライダーとあかりちゃんが今日もどっか行くようです【紀伊長島α橋】,sm34240651,2022-06-01 17:00:00,【A.I.VOICE車載】R25が今日もどっか行くようです【南伊勢町お花見 編】,sm40552030,False
57745,しゃもじ,2016,2016-10-25 01:18:06,【MT-03】ささらん車載でpart1 秩父の大滝食堂に行こう！【ばくおん！】,sm29903005,2021-10-09 23:02:02,【バイク】秩父の正丸峠に行ってみよう！ささらん車載でpart35【パスタもあるよ】,sm39455399,False
59802,わいえほ,2022,2022-11-18 15:00:00,カメラ担いで行けるところまで 自転車編#2,sm41387298,2026-05-24 01:53:04,【タンゲコトエ奉納祭2026】南阿蘇サイクリング,sm46348240,True
